PuV  3.0E-4M in ???
410.38201900  0.00141710
411.19619750  0.00092880
412.01037600  0.00112380
412.82455440  0.00154740
413.63873290  0.00221100
414.45294190  0.00125390
415.26712040  0.00208820
416.08129880  0.00155920
416.89547730  0.00141510
417.70965580  0.00197590
418.52383420  0.00293790
419.33801270  0.00211330
420.15219120  0.00182880
420.96636960  0.00226210
421.78057860  0.00177800
422.59475710  0.00207450
423.40893550  0.00253560
424.22311400  0.00224050
425.03729250  0.00186320
425.85147090  0.00122170
426.66564940  0.00140630
427.47982790  0.00156660
428.29400630  0.00144310
429.10821530  0.00063970
429.92239380  0.00090320
430.73657230  0.00133730
431.55075070  0.00077510
432.36492920  0.00062870
433.17910770  0.00118260
433.99328610  0.00098120
434.80746460  0.00084180
435.62164310  0.00093240
436.43585210  0.00043460
437.25003050  0.00120350
438.06420900  0.00081650
438.87838750  0.00067170
439.69256590  0.00088340
440.50674440  0.00118820
441.32092290  0.00099320
442.13510130  0.00119400
442.94927980  0.00133910
443.76348880  0.00154330
444.57766720  0.00096640
445.39184570  0.00145120
446.20602420  0.00126660
447.02020260  0.00163770
447.83438110  0.00144720
448.64855960  0.00162580
449.46273800  0.00166550
450.27694700  0.00197050
451.09112550  0.00166930
451.90530400  0.00150350
452.71948240  0.00183410
453.53366090  0.00143890
454.34783940  0.00165210
455.16201780  0.00176920
455.97619630  0.00146730
456.79037480  0.00191630
457.60458370  0.00163150
458.41876220  0.00134870
459.23294070  0.00127610
460.04711910  0.00134420
460.86129760  0.00119820
461.67547610  0.00111870
462.48965450  0.00139000
463.30383300  0.00105800
464.11801150  0.00110610
464.93222050  0.00121500
465.74639890  0.00106330
466.56057740  0.00108180
467.37475590  0.00094010
468.18893430  0.00101280
469.00311280  0.00091870
469.81729130  0.00099770
470.63146970  0.00115180
471.44564820  0.00098770
472.25985720  0.00123780
473.07403560  0.00115330
473.88821410  0.00119220
474.70239260  0.00135770
475.51657100  0.00129160
476.33074950  0.00140990
477.14492800  0.00140630
477.95910640  0.00146820
478.77328490  0.00137450
479.58749390  0.00127980
480.40167240  0.00161950
481.21585080  0.00156740
482.03002930  0.00166930
482.84420780  0.00154710
483.65838620  0.00200330
484.47256470  0.00210230
485.28674320  0.00213710
486.10092160  0.00211150
486.91513060  0.00192310
487.72930910  0.00163060
488.54348750  0.00149960
489.35766600  0.00116290
490.17184450  0.00087960
490.98602290  0.00087180
491.80020140  0.00040450
492.61437990  0.00035780
493.42855830  0.00027560
494.24276730  0.00023410
495.05694580  0.00015430
495.87112430  0.00017850
496.68530270  0.00018750
497.49948120  0.00027900
498.31365970  0.00024970
499.12783810  0.00030750
499.94201660  0.00031970
500.75619510  0.00022470
501.57040410  0.00044830
502.38458250  0.00046300
503.19876100  0.00062930
504.01293950  0.00071980
504.82711790  0.00072940
505.64129640  0.00082910
506.45547490  0.00088190
507.26965330  0.00123900
